0,VINO11
1,GARE11
2,VGIA11
4,VGHF11
5,XPCA11
6,VGIR11
7,BTCI11
8,MXRF11
9,KNCR11
10,KNCA11
11,XPLG11
12,XPML11
13,VISC11
14,KNRI11
15,HGLG11
16,AJF11
17,HGBS11
18,BDIV11
19,KNIP11
20,MGHT11
21,VCRA11
22,LSAG11
